Boomnummer,Maatregel,Boomsoort in veld gemuteerd,Diameter afgestorven tak,Kroonsterfte,Leeftijd,Mate van hergroei,Netto ontbladering,Risicoprofiel,Straat,LAT,LON
2941549,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,22,Minimaal,51-75%,Categorie II,Park de Koppel,52.05680382,5.125902849
2922785,Bomen rooien,Fraxinus americana 'Autumn Applause',< 4 cm,Boom is afstervend,4,Minimaal,1-5%,Categorie I,Weg naar Rhijnauwen,52.08395797,5.16025264
2016242,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,37,Minimaal,26-50%,Categorie I,Vechtdijk,52.1208997,5.076563079
2016211,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,52,Niet van toepassing,100%,Categorie III,Landgoed Amelisweerd,52.0719795,5.15518426
2016154,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,26,Matig,51-75%,Categorie I,Landgoed Amelisweerd,52.06950618,5.164612927
2016153,Bomen rooien,Fraxinus excelsior,4-10 cm,Lichte sterfte,47,Minimaal,1-5%,Categorie I,Overste den Oudenlaan,52.07960532,5.102260915
2016138,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',< 4 cm,Matige sterfte,19,Minimaal,51-75%,Categorie I,Huurweerstraat,52.09946464,5.108425312
2016058,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,33,Minimaal,26-50%,Categorie III,Landgoed Amelisweerd,52.07570821,5.181884486
2015977,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',< 4 cm,Lichte sterfte,38,Minimaal,6-25%,Categorie I,Dianadreef,52.11663536,5.129218771
2015940,Bomen rooien,Fraxinus excelsior,< 4 cm,Lichte sterfte,23,Minimaal,26-50%,Categorie I,Landgoed Amelisweerd,52.0686,5.177447864
2015920,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,6,Minimaal,26-50%,Categorie II,Dorpsstraat,52.10550568,5.000052646
2015898,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,4,Minimaal,76-99%,Categorie I,Rio Brancodreef,52.12414263,5.094069838
2015619,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,22,Minimaal,26-50%,Categorie I,Nedereindseplas,52.02972172,5.062285035
2015495,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Boom is afstervend,37,Minimaal,76-99%,Categorie I,Nedereindseweg,52.04607368,5.04783919
